hierarchy_model,perron_value,reciprocal_matrix_order,consistency_index,consistency_ratio
objective_criterion,3.0323666170045804,3,0.016183308502290217,0.03311501637464746
criterion_oxygen_uniformity,3.1356108446580437,3,0.06780542232902187,0.1387465159177857
criterion_pressure_drop,3.0141518821862077,3,0.0070759410931038325,0.014479110073877291
criterion_current_desnsity,3.0036945980636407,3,0.0018472990318203486,0.0037800266662990556
