reference_factor,comparative_factor,importance
B1,B2,4
B1,B3,2
B1,B4,4
B1,B5,2
B1,B6,2
B1,B7,2
B1,B9,3
B2,B4,1
B2,B6,1
B2,B9,2
B3,B2,3
B3,B4,3
B3,B5,2
B3,B6,2
B3,B7,2
B3,B9,3
B5,B2,3
B5,B4,3
B5,B6,1
B5,B7,2
B5,B9,2
B6,B4,5
B6,B7,2
B6,B9,2
B7,B2,3
B7,B4,3
B7,B9,2
B8,B1,5
B8,B2,5
B8,B3,5
B8,B4,5
B8,B5,5
B8,B6,5
B8,B7,5
B8,B9,9
B9,B4,1
,,
,,
,,
,,
